REPORTING YEAR,FACILITY NAME,GHGRP ID,REPORTED ADDRESS,LATITUDE,LONGITUDE,CITY NAME,COUNTY NAME,STATE,ZIP CODE,PARENT COMPANIES,GHG QUANTITY (METRIC TONS CO2e),SUBPARTS
2021,Swift Creek Environmental Landfill,1007888,4200 Davis Road,32.82169,-83.51452,Macon,BIBB COUNTY,GA,31211,REPUBLIC SERVICES INC (100%),3819,HH
2021,Sycamore Combustion Turbine,1000520,6141 NW BEAVER DR,41.6722,-93.6769,JOHNSTON,Polk,IA,50323,BERKSHIRE HATHAWAY INC (100%),10893,C
2021,Sycamore Ridge Landfill/Victory Landfill,1004476,5261 East Cottom Road,39.310086,-87.339916,Pimento,VIGO COUNTY,IN,47866,REPUBLIC SERVICES INC (100%),184643,"C,HH"
2021,Sylvamo Eastover Mill,1006262,4001 MCCORDS FERRY RD,33.8872,-80.6397,EASTOVER,Richland,SC,29044,"Sylvamo North America, LLC (100%)",248539,"AA,C,TT"
2021,Sylvamo Ticonderoga Mill,1006885,568 SHORE AIRPORT RD,43.8914,-73.3961,TICONDEROGA,Essex,NY,12883,Sylvamo North America LLC (100%),212302,"AA,C,TT"
2021,Sylvarena Generating Plant,1000298,3012 SMITH COUNTY ROAD 97,31.9842,-89.4131,RALEIGH,Smith,MS,39153,COOPERATIVE ENERGY A MISSISSIPPI ELECTRIC COOPERATIVE (100%),141688,D
2021,Symrise,1007064,601 CRESTWOOD STREET,30.380131,-81.664313,JACKSONVILLE,DUVAL COUNTY,FL,32208,SYMRISE INC (100%),19304,C
2021,Symrise,1004393,209 SCM ROAD,31.10807,-81.549685,BRUNSWICK,GLYNN COUNTY,GA,31523,SYMRISE INC (100%),21819,C
2021,Synthomer Jefferson Hills LLC,1001963,2200 State Route 837,40.26916,-79.90549,West Elizabeth,ALLEGHENY COUNTY,PA,15088,EASTMAN CHEMICAL CO (100%),30827,C
2021,T C Ferguson Power Plant,1000996,2001 FERGUSON RD,30.558,-98.3705,MARBLE FALLS,Llano,TX,78654,LOWER COLORADO RIVER AUTHORITY (96.5%); CITY OF SAN MARCOS (3.5%),1222497,D
2021,T H Wharton,1007243,16301 HIGHWAY 249,29.9414,-95.5333,HOUSTON,Harris,TX,77064,NRG ENERGY INC (100%),962810,C
2021,T J Labbe Electric Generating Station,1006210,208 RENAUD DR,30.2554,-92.0433,LAFAYETTE,Lafayette,LA,70507,LAFAYETTE CITY PARISH CONSOLIDATED GOVERNMENT (100%),14924,D
2021,T&D FLORIDA,1009537,299 FIRST AVE N,27.77209,-82.6371,SAINT PETERSBURG,PINELLAS COUNTY,FL,33701,DUKE ENERGY CORP (100%),31798,DD
2021,TAC Manufacturing,1012081,4111 County Farm Rd.,42.2748,-84.4741,Jackson,JACKSON COUNTY,MI,49201,TAC MANUFACTURING (100%),53512,T
2021,TACOMA CITY SOLID WASTE FAC,1005619,3510 SOUTH MULLEN,47.231735,-122.502724,TACOMA,PIERCE COUNTY,WA,98409,CITY OF TACOMA (100%),10378,HH
